source,row_index,row_text,period,id,name,order,level,off_balance,unit,value,item,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TCB_balance_sheet_doc,75,2025-Q1 | BS_CUSTOMER_DEPOSITS |   ‣ Customer Deposits | 54 | 2 | False | VNĐ | 531583052000000.0,2025-Q1,BS_CUSTOMER_DEPOSITS,  ‣ Customer Deposits,54,2,False,VNĐ,531583052000000.0,,,,,
TCB_balance_sheet_doc,81,2024-Q4 | BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS | Placements and Loans to Credit Institutions | 4 | 1 | False | VNĐ | 84590474000000.0,2024-Q4,BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS,Placements and Loans to Credit Institutions,4,1,False,VNĐ,84590474000000.0,,,,,
TCB_balance_sheet_doc,83,2024-Q4 | BS_LOANS_TO_CUSTOMERS | Loans to Customers | 12 | 1 | False | VNĐ | 623634271000000.0,2024-Q4,BS_LOANS_TO_CUSTOMERS,Loans to Customers,12,1,False,VNĐ,623634271000000.0,,,,,
TCB_balance_sheet_doc,84,2024-Q4 | BS_PROVISION_LOANS_TO_CUSTOMERS |   ‣ Provision Loans to Customers | 14 | 2 | False | VNĐ | -8090693000000.0,2024-Q4,BS_PROVISION_LOANS_TO_CUSTOMERS,  ‣ Provision Loans to Customers,14,2,False,VNĐ,-8090693000000.0,,,,,
TCB_balance_sheet_doc,87,2024-Q4 | BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS |   ‣ Placements and Borrowings from Credit Institutions | 51 | 2 | False | VNĐ | 132239088000000.0,2024-Q4,BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS,  ‣ Placements and Borrowings from Credit Institutions,51,2,False,VNĐ,132239088000000.0,,,,,
TCB_balance_sheet_doc,88,2024-Q4 | BS_CUSTOMER_DEPOSITS |   ‣ Customer Deposits | 54 | 2 | False | VNĐ | 533392350000000.0,2024-Q4,BS_CUSTOMER_DEPOSITS,  ‣ Customer Deposits,54,2,False,VNĐ,533392350000000.0,,,,,
TCB_balance_sheet_doc,94,2024-Q3 | BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS | Placements and Loans to Credit Institutions | 4 | 1 | False | VNĐ | 90014293000000.0,2024-Q3,BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS,Placements and Loans to Credit Institutions,4,1,False,VNĐ,90014293000000.0,,,,,
TCB_balance_sheet_doc,96,2024-Q3 | BS_LOANS_TO_CUSTOMERS | Loans to Customers | 12 | 1 | False | VNĐ | 617924570000000.0,2024-Q3,BS_LOANS_TO_CUSTOMERS,Loans to Customers,12,1,False,VNĐ,617924570000000.0,,,,,
TCB_balance_sheet_doc,97,2024-Q3 | BS_PROVISION_LOANS_TO_CUSTOMERS |   ‣ Provision Loans to Customers | 14 | 2 | False | VNĐ | -8366207000000.0,2024-Q3,BS_PROVISION_LOANS_TO_CUSTOMERS,  ‣ Provision Loans to Customers,14,2,False,VNĐ,-8366207000000.0,,,,,
TCB_balance_sheet_doc,100,2024-Q3 | BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS |   ‣ Placements and Borrowings from Credit Institutions | 51 | 2 | False | VNĐ | 138462274000000.0,2024-Q3,BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS,  ‣ Placements and Borrowings from Credit Institutions,51,2,False,VNĐ,138462274000000.0,,,,,
TCB_balance_sheet_doc,101,2024-Q3 | BS_CUSTOMER_DEPOSITS |   ‣ Customer Deposits | 54 | 2 | False | VNĐ | 494954017000000.0,2024-Q3,BS_CUSTOMER_DEPOSITS,  ‣ Customer Deposits,54,2,False,VNĐ,494954017000000.0,,,,,
TCB_balance_sheet_doc,107,2024-Q2 | BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS | Placements and Loans to Credit Institutions | 4 | 1 | False | VNĐ | 88903726000000.0,2024-Q2,BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS,Placements and Loans to Credit Institutions,4,1,False,VNĐ,88903726000000.0,,,,,
TCB_balance_sheet_doc,109,2024-Q2 | BS_LOANS_TO_CUSTOMERS | Loans to Customers | 12 | 1 | False | VNĐ | 584713478000000.0,2024-Q2,BS_LOANS_TO_CUSTOMERS,Loans to Customers,12,1,False,VNĐ,584713478000000.0,,,,,
TCB_balance_sheet_doc,110,2024-Q2 | BS_PROVISION_LOANS_TO_CUSTOMERS |   ‣ Provision Loans to Customers | 14 | 2 | False | VNĐ | -7369793000000.0,2024-Q2,BS_PROVISION_LOANS_TO_CUSTOMERS,  ‣ Provision Loans to Customers,14,2,False,VNĐ,-7369793000000.0,,,,,
TCB_balance_sheet_doc,113,2024-Q2 | BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS |   ‣ Placements and Borrowings from Credit Institutions | 51 | 2 | False | VNĐ | 154612416000000.0,2024-Q2,BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS,  ‣ Placements and Borrowings from Credit Institutions,51,2,False,VNĐ,154612416000000.0,,,,,
