date,omo,fx,OMO_z,FX_z,LPI_components,LPI
2018-10-03,4800.0,,-0.5557088786103164,,1,
2018-10-04,5000.0,,-0.6159753893692576,,1,
2018-10-05,3034.0,,-0.3630857774864765,,1,
2018-10-08,2670.0,,-0.3145001304388816,,1,
2018-10-09,5783.0,,-0.8011808532365421,,1,
2018-10-10,4500.0,,-0.6173209191326056,,1,
2018-10-11,171.0,,0.03633159932613715,,1,
2018-10-12,3460.0,,-0.4845506498738625,,1,
2018-10-15,100.0,,0.039101406512162776,,1,
2018-10-16,450.0,,-0.054580491681993734,,1,
2018-10-17,-200.0,,0.0441017333661765,,1,
2018-10-18,-100.0,,0.027206670535086203,,1,
2018-10-19,0.0,,0.013445365124427466,,1,
2018-10-22,-1999.9,,0.3907989825889951,,1,
2018-10-23,1134.5,,-0.08634703301314517,,1,
2018-10-24,15199.9,,-3.010079062367352,,1,
2018-10-25,18299.9,,-3.3220823300961357,,1,
2018-10-26,13779.9,,-2.267219534096546,,1,
2018-10-29,7099.9,,-0.9614065752690777,,1,
2018-10-30,6115.4,,-0.7673216109083867,,1,
2018-10-31,-8800.0,,1.9437982856335534,,1,
2018-11-01,-10900.0,,2.184608744426346,,1,
2018-11-02,0.0,,0.2720915918280823,,1,
2018-11-05,10999.9,,-1.5925518717975609,,1,
2018-11-06,2000.0,,-0.062014541543544445,,1,
2018-11-07,5000.0,,-0.5680405576198864,,1,
2018-11-08,-2341.2,,0.6632924212001864,,1,
2018-11-09,5000.0,,-0.5806359381929445,,1,
2018-11-12,4000.0,,-0.39654000578168724,,1,
2018-11-13,9000.0,,-1.217107434141804,,1,
2018-11-14,-2272.9,,0.6712255380067893,,1,
2018-11-15,3180.3,,-0.22798238345878014,,1,
2018-11-16,-8000.0,,1.5979094953666215,,1,
2018-11-19,-5000.0,,1.0727602981371795,,1,
2018-11-20,0.0,,0.2580528354431544,,1,
2018-11-21,7272.9,,-0.907281474696807,,1,
2018-11-22,5550.0,,-0.6077318180533995,,1,
2018-11-23,-2733.9,,0.7351053486779188,,1,
2018-11-26,-4000.0,,0.9264577425672693,,1,
2018-11-27,-4800.9,,1.0248037161701304,,1,
2018-11-28,-6383.9,,1.2374295278618686,,1,
2018-11-29,-7831.0,,1.4316574926142271,,1,
2018-11-30,4146.0,,-0.4330033817729644,,1,
2018-12-03,8000.0,,-1.0242880072515332,,1,
2018-12-04,3800.9,,-0.3422132302575141,,1,
2018-12-05,6383.9,,-0.7276129864810367,,1,
2018-12-06,6129.4,,-0.6651762927282757,,1,
2018-12-07,-786.0,,0.4319244789823368,,1,
2018-12-10,0.0,,0.2922937168662185,,1,
2018-12-11,-4045.9,,0.9058333251185718,,1,
2018-12-12,-5000.0,,1.0240968800137216,,1,
2018-12-13,-1608.4,,0.4669123294458574,,1,
2018-12-14,2373.9,,-0.1325381166541806,,1,
2018-12-17,1308.1,,0.07588984060273932,,1,
2018-12-18,4225.9,,-0.39680696768847185,,1,
2018-12-19,4983.8,,-0.507038656545739,,1,
2018-12-20,9957.0,,-1.333650653443622,,1,
2018-12-21,-1748.9,,0.6736518274074696,,1,
2018-12-24,-996.0,,0.5216005506721828,,1,
2018-12-25,,,,,0,
2018-12-26,1338.0,,0.09688786224940706,,1,
2018-12-27,2073.9,,-0.03945755073069229,,1,
2018-12-28,22005.0,,-3.1384998072059953,,1,
2018-12-31,,,,,0,
2019-01-01,,,,,0,
2019-01-02,-4827.0,,1.0448344543075583,,1,
2019-01-03,-3228.9,,0.7847027381052399,,1,
2019-01-04,-16712.0,,2.624116153506041,,1,
2019-01-07,1557.0,,-0.0017693142858219355,,1,
2019-01-08,,,,,0,
2019-01-09,2504.9,,-0.12742013063456445,,1,
2019-01-10,-1771.1,,0.4781545965624548,,1,
2019-01-11,-5374.1,,0.9700527631890299,,1,
